created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Feb 22 23:36:14 +0000 2023;1628539190328565760;"Hecho esta - Rusia - Bitcoin - Magisterlucis https://t.co/gY1DsBn7cY";12;196;192;2656;in;348565877;1628539190328565760;MAGISTERLUCIS;https://twitter.com/MAGISTERLUCIS/status/1628539190328565760
Sun Feb 05 15:52:42 +0000 2023;1622261943166722053;"#Bitcoin is Digital Money. https://t.co/u1vmOHK6hK";58;1091;1675;10282;tl;244647486;1622261943166722053;saylor;https://twitter.com/saylor/status/1622261943166722053
Mon Jan 16 04:07:35 +0000 2023;1614836738295488512;"Lambo URUS or 15 #Bitcoin ? https://t.co/UzvhssiYAN";32;776;206;1915;in;3185716686;1614836738295488512;Ashcryptoreal;https://twitter.com/Ashcryptoreal/status/1614836738295488512
Sun Jan 15 04:48:12 +0000 2023;1614484572124884992;"Berikut adalah perbandingan RETURN di sepanjang tahun 2022 dari sejumlah instrumen investasi :   Harga emas : naik 8% IHSG : naik 4,6% US Dollar : naik 9%  Bitcoin : anjlok parah 65% Deposito rata2 : 3,5 - 4%  ORI022 : 5,9% Properti cenderung turun   A thread. https://t.co/WhT61v0z75";5;11;152;434;in;190535830;1614484572124884992;Strategi_Bisnis;https://twitter.com/Strategi_Bisnis/status/1614484572124884992
Wed Nov 30 19:05:21 +0000 2022;1598030440912195584;"#BITCOIN BROKE $17K 🚀";4;248;82;826;en;1353384573435056128;1598030440912195584;rovercrc;https://twitter.com/rovercrc/status/1598030440912195584
Sat Nov 26 00:35:52 +0000 2022;1596301679796060161;"Kantoi admin @abdulhadiawang  main bitcoin. 😂😂😂 https://t.co/iWg7McehxN";59;93;570;1339;in;999485134473609216;1596301679796060161;KroniRakyat;https://twitter.com/KroniRakyat/status/1596301679796060161
Tue Nov 22 02:50:37 +0000 2022;1594886037326934017;"Bisnis kripto Bitcoin mining tidak lagi menguntungkan  Data per 22 Nov 2022 (sumber MacroMicro) Ongkos rata-rata mining 1 BTC = $19,568  Harga 1 BTC = $15,828  Besar pasak daripada tiang Tinggal tunggu waktu menuju bangkrut https://t.co/sgAla7MjHb";34;51;129;428;in;201965045;1594886037326934017;desmondwira;https://twitter.com/desmondwira/status/1594886037326934017
Sun Nov 20 20:08:47 +0000 2022;1594422526607855617;"#Bitcoin tik tok, tik tok⏰ https://t.co/l3pEXNLI4K";3;58;94;553;hu;1491052911417344001;1594422526607855617;StockmoneyL;https://twitter.com/StockmoneyL/status/1594422526607855617
Tue Nov 15 02:14:31 +0000 2022;1592340236868423680;"YALIYOMKUTA MFADHILI NAMBA MBILI WA BIDEN!  Sam-Bankman Fried ni jamaa aliyepoteza 94% ya utajiri wake in One  day! Kutoka $ 15.2 B to 991.5$ million   Sababu za yeye kupoteza kiasi chote hicho, kufirisika kwa FTX, Bitcoin na crypto zingine kushuka...mchongo wote  huu hapa! 👇 https://t.co/6jPbvP2ZQ2";9;55;155;567;in;1363071678385958913;1592340236868423680;batho_shukran;https://twitter.com/batho_shukran/status/1592340236868423680
Sun Nov 13 11:55:57 +0000 2022;1591761785853706240;"@tanyakanrl buat yang belum ngerasain berantakannya twitter setelah dipegang elon musk, kemungkinan besar yang bakal kejadian tuh bot bot twitter pada dimatiin, terus ini juga banyak banget orang random tiba tiba masukin ke grup bitcoin, belum tau kedepannya gimana";19;14;62;1661;in;1301791606106775553;1591755261793820672;cosyhug;https://twitter.com/cosyhug/status/1591761785853706240
